time(msec), lat(ns), read0_write1, offset
161250, 105574, 0, 0
161250, 34962, 1, 0
161375, 121128, 0, 0
161375, 60448, 1, 0
161625, 132323, 0, 0
161875, 100218, 0, 0
162125, 125996, 0, 0
162375, 200903, 0, 0
162375, 36380, 1, 0
162625, 57825, 1, 0
162875, 72140, 1, 0
163375, 56421, 1, 0
163375, 36921, 0, 0
163500, 55038, 1, 0
163500, 104503, 0, 0
163750, 83050, 1, 0
163750, 75935, 0, 0
164000, 182156, 0, 0
164750, 71018, 1, 0
165000, 50064, 1, 0
165000, 111838, 0, 0
165125, 75458, 1, 0
165500, 95997, 0, 0
165750, 120693, 0, 0
166000, 175443, 0, 0
166125, 79088, 1, 0
167000, 128210, 0, 0
167125, 53941, 1, 0
167125, 181989, 0, 0
167261, 11792271, 1, 0
168125, 124400, 0, 0
168250, 56791, 1, 0
168500, 51184, 1, 0
168625, 170873, 0, 0
168750, 38548, 1, 0
169250, 79155, 1, 0
169500, 53887, 1, 0
169625, 124553, 0, 0
170000, 60776, 1, 0
170125, 118292, 0, 0
170250, 204940, 0, 0
170500, 57284, 1, 0
170750, 57636, 1, 0
171000, 67487, 1, 0
171250, 122168, 0, 0
171375, 136680, 0, 0
171500, 74659, 1, 0
171875, 168745, 0, 0
172500, 66168, 1, 0
172625, 57645, 1, 0
172875, 55232, 1, 0
172875, 95197, 0, 0
173125, 40357, 1, 0
173125, 92702, 0, 0
173375, 56964, 1, 0
173375, 86158, 0, 0
173500, 96145, 1, 0
173500, 93938, 0, 0
174000, 107326, 0, 0
174500, 126820, 0, 0
174500, 47908, 1, 0
174750, 64516, 0, 0
175000, 49602, 1, 0
175000, 89642, 0, 0
175125, 49626, 1, 0
175250, 74632, 1, 0
175250, 106126, 0, 0
175750, 171906, 0, 0
176250, 31905, 1, 0
176375, 47330, 1, 0
176750, 119027, 0, 0
177250, 102007, 0, 0
177375, 45905, 1, 0
177500, 130012, 0, 0
177625, 64484, 1, 0
177750, 132413, 0, 0
178125, 60756, 1, 0
178250, 56960, 0, 0
178375, 166402, 0, 0
178625, 66039, 1, 0
178875, 56888, 1, 0
179125, 63732, 1, 0
179375, 106417, 0, 0
179625, 55923, 0, 0
179625, 69063, 1, 0
179875, 101936, 0, 0
180375, 123785, 0, 0
180625, 80595, 1, 0
180875, 112273, 0, 0
181375, 153728, 0, 0
181625, 44652, 1, 0
181750, 56832, 1, 0
181875, 107302, 0, 0
181875, 58925, 1, 0
182125, 165766, 0, 0
182875, 63367, 1, 0
183000, 76308, 1, 0
183125, 59272, 0, 0
183375, 126049, 0, 0
183500, 112237, 0, 0
184000, 115544, 0, 0
184000, 21638, 1, 0
184125, 72080, 1, 0
184250, 64936, 0, 0
184375, 95507, 0, 0
184625, 168854, 0, 0
185125, 60117, 1, 0
185625, 107016, 0, 0
185750, 103953, 0, 0
186125, 97938, 1, 0
186250, 128359, 0, 0
186500, 128824, 0, 0
187000, 167750, 0, 0
187125, 53946, 1, 0
187375, 66044, 1, 0
187875, 64852, 1, 0
188000, 121224, 0, 0
188250, 197317, 0, 0
188375, 75332, 1, 0
189250, 111188, 0, 0
189375, 57219, 1, 0
189375, 104298, 0, 0
189500, 107258, 0, 0
189625, 78795, 1, 0
189750, 122731, 0, 0
190000, 102444, 0, 0
190250, 141831, 0, 0
190500, 115706, 0, 0
190625, 130796, 0, 0
190625, 37846, 1, 0
190875, 78223, 1, 0
190875, 126736, 0, 0
191125, 148743, 0, 0
191250, 208283, 0, 0
191875, 68519, 1, 0
192250, 127668, 0, 0
192375, 77864, 1, 0
192750, 142127, 0, 0
193000, 123253, 0, 0
193375, 55762, 1, 0
193500, 123949, 0, 0
193625, 125183, 0, 0
193625, 34517, 1, 0
193750, 51381, 1, 0
193875, 54821, 1, 0
194125, 129208, 0, 0
194125, 31537, 1, 0
194250, 60334, 1, 0
194625, 220283, 0, 0
195250, 69316, 1, 0
195500, 57408, 1, 0
195625, 104326, 0, 0
195750, 73529, 1, 0
195750, 97357, 0, 0
196250, 68986, 0, 0
196250, 26495, 1, 0
196500, 49626, 1, 0
196625, 78516, 1, 0
196750, 105190, 0, 0
196875, 128633, 0, 0
197000, 121121, 0, 0
197250, 108309, 0, 0
197500, 123092, 0, 0
197636, 11921289, 1, 0
197750, 107633, 0, 0
197875, 172722, 0, 0
198125, 81271, 1, 0
198875, 213815, 0, 0
199125, 57072, 1, 0
199375, 42269, 1, 0
199500, 55620, 1, 0
199750, 72371, 1, 0
199875, 120880, 0, 0
200000, 121276, 0, 0
200250, 125464, 0, 0
200750, 55421, 1, 0
200750, 78510, 0, 0
201250, 85405, 0, 0
201250, 41705, 1, 0
201375, 125129, 0, 0
201625, 86107, 0, 0
201750, 127615, 0, 0
202250, 113017, 0, 0
202250, 40817, 1, 0
202500, 200996, 0, 0
202500, 38726, 1, 0
202750, 40544, 1, 0
203000, 62437, 1, 0
203250, 57357, 1, 0
203500, 63469, 1, 0
203500, 102377, 0, 0
203750, 120225, 0, 0
203750, 31294, 1, 0
203875, 54368, 1, 0
203875, 98478, 0, 0
204125, 43893, 1, 0
204125, 74564, 0, 0
204250, 139952, 0, 0
204375, 55461, 1, 0
204625, 69316, 1, 0
204750, 121180, 0, 0
204750, 37946, 1, 0
204875, 62032, 0, 0
205000, 54705, 1, 0
205250, 59984, 1, 0
205375, 125836, 0, 0
205750, 42095, 1, 0
205875, 201619, 0, 0
206000, 73380, 1, 0
206875, 87108, 0, 0
207000, 35725, 1, 0
207000, 164887, 0, 0
207125, 58188, 1, 0
207375, 28690, 1, 0
207625, 51177, 1, 0
208000, 113422, 0, 0
208250, 111748, 0, 0
208625, 76856, 1, 0
208750, 107074, 0, 0
209000, 105479, 0, 0
209250, 126509, 0, 0
209375, 108501, 0, 0
209500, 103706, 0, 0
209625, 57273, 1, 0
209625, 101803, 0, 0
209750, 120168, 0, 0
209875, 206280, 0, 0
209875, 47930, 1, 0
210375, 62984, 1, 0
210500, 72939, 1, 0
210750, 62628, 1, 0
210875, 121480, 0, 0
211000, 84170, 1, 0
211125, 81269, 0, 0
211250, 116169, 0, 0
211750, 65820, 0, 0
212000, 67628, 1, 0
212000, 87243, 0, 0
212125, 128387, 0, 0
212500, 60191, 1, 0
212625, 222246, 0, 0
213000, 60897, 1, 0
213250, 56124, 1, 0
213500, 62676, 1, 0
213625, 203520, 0, 0
213750, 74968, 1, 0
214625, 74317, 0, 0
214750, 82831, 1, 0
214875, 122501, 0, 0
215125, 95219, 0, 0
215375, 99694, 0, 0
215625, 118165, 0, 0
215750, 76940, 1, 0
215875, 167538, 0, 0
216250, 34843, 1, 0
216750, 56845, 1, 0
