time(msec), BW(kbps), read0_write1, offset
147250, 64, 1, 0
147500, 16, 0, 0
147750, 64, 0, 0
147750, 32, 1, 0
148000, 32, 1, 0
148250, 48, 0, 0
148250, 128, 1, 0
148750, 64, 0, 0
149000, 64, 0, 0
149250, 128, 1, 0
149500, 32, 0, 0
149750, 64, 0, 0
150250, 64, 0, 0
150250, 16, 1, 0
150500, 32, 1, 0
150750, 32, 0, 0
150750, 32, 1, 0
151000, 64, 0, 0
151000, 32, 1, 0
151250, 128, 1, 0
151750, 128, 0, 0
152250, 32, 1, 0
152500, 16, 0, 0
152500, 64, 1, 0
152750, 32, 0, 0
153000, 32, 0, 0
153000, 64, 1, 0
153250, 32, 0, 0
153500, 32, 0, 0
153500, 32, 1, 0
153750, 32, 0, 0
153750, 32, 1, 0
154000, 64, 0, 0
154000, 64, 1, 0
154500, 128, 0, 0
154500, 128, 1, 0
155500, 32, 0, 0
155500, 64, 1, 0
155750, 32, 0, 0
156000, 128, 0, 0
156000, 32, 1, 0
156250, 64, 1, 0
156750, 32, 1, 0
157000, 48, 0, 0
157000, 32, 1, 0
157250, 64, 1, 0
157500, 64, 0, 0
157750, 64, 0, 0
157750, 64, 1, 0
158250, 64, 0, 0
158250, 32, 1, 0
158500, 32, 1, 0
158750, 64, 1, 0
159000, 48, 0, 0
159250, 128, 0, 0
159250, 80, 1, 0
159750, 32, 1, 0
160000, 32, 1, 0
160250, 32, 0, 0
160250, 128, 1, 0
160500, 32, 0, 0
160750, 48, 0, 0
161000, 32, 0, 0
161250, 16, 0, 0
161250, 16, 1, 0
161500, 32, 0, 0
161500, 128, 1, 0
161750, 32, 0, 0
162000, 32, 0, 0
162250, 32, 0, 0
162500, 128, 0, 0
162500, 32, 1, 0
162750, 32, 1, 0
163000, 64, 1, 0
163500, 48, 0, 0
163500, 48, 1, 0
163750, 32, 0, 0
163750, 128, 1, 0
164250, 128, 0, 0
164750, 32, 1, 0
165000, 64, 0, 0
165000, 16, 1, 0
165250, 128, 1, 0
165750, 64, 0, 0
166000, 128, 0, 0
166250, 128, 1, 0
167000, 16, 0, 0
167250, 128, 0, 0
167250, 16, 1, 0
167500, 128, 1, 0
168250, 64, 0, 0
168250, 32, 1, 0
168750, 128, 0, 0
168750, 96, 1, 0
169500, 96, 1, 0
169750, 64, 0, 0
170250, 144, 0, 0
170250, 64, 1, 0
170500, 32, 1, 0
170750, 32, 1, 0
171000, 64, 1, 0
171250, 16, 0, 0
171500, 64, 0, 0
171750, 128, 1, 0
172000, 128, 0, 0
172500, 16, 1, 0
172750, 32, 1, 0
173000, 32, 0, 0
173000, 32, 1, 0
173250, 32, 0, 0
173250, 32, 1, 0
173500, 80, 0, 0
173500, 144, 1, 0
174000, 64, 0, 0
174500, 32, 0, 0
174750, 32, 0, 0
174750, 64, 1, 0
175000, 32, 0, 0
175000, 16, 1, 0
175250, 144, 1, 0
175500, 64, 0, 0
175750, 128, 0, 0
176250, 16, 1, 0
176500, 128, 1, 0
177000, 64, 0, 0
177250, 32, 0, 0
177501, 31, 0, 0
177501, 31, 1, 0
177750, 64, 0, 0
177750, 64, 1, 0
178250, 16, 0, 0
178250, 64, 1, 0
178500, 128, 0, 0
178750, 32, 1, 0
179000, 32, 1, 0
179250, 64, 1, 0
179500, 32, 0, 0
179750, 32, 0, 0
179750, 128, 1, 0
180000, 64, 0, 0
180500, 64, 0, 0
180750, 128, 1, 0
181000, 64, 0, 0
181500, 64, 0, 0
181750, 32, 1, 0
182000, 32, 0, 0
182000, 128, 1, 0
182250, 128, 0, 0
183000, 144, 1, 0
183250, 32, 0, 0
183500, 80, 0, 0
184000, 32, 0, 0
184000, 16, 1, 0
184250, 16, 0, 0
184250, 128, 1, 0
184500, 32, 0, 0
184750, 128, 0, 0
185250, 128, 1, 0
185750, 80, 0, 0
186250, 32, 0, 0
186250, 128, 1, 0
186500, 64, 0, 0
187000, 128, 0, 0
187250, 32, 1, 0
187500, 64, 1, 0
188000, 32, 0, 0
188000, 64, 1, 0
188500, 128, 0, 0
188500, 128, 1, 0
189250, 16, 0, 0
189500, 48, 0, 0
189500, 32, 1, 0
189750, 32, 0, 0
189750, 128, 1, 0
190000, 32, 0, 0
190250, 32, 0, 0
190750, 48, 0, 0
190750, 32, 1, 0
191000, 32, 0, 0
191000, 128, 1, 0
191251, 143, 0, 0
192000, 64, 1, 0
192250, 64, 0, 0
192500, 128, 1, 0
193000, 96, 0, 0
193500, 16, 0, 0
193500, 32, 1, 0
193750, 64, 0, 0
193750, 32, 1, 0
194000, 32, 1, 0
194250, 64, 0, 0
194250, 144, 1, 0
194750, 128, 0, 0
195500, 64, 1, 0
195750, 80, 0, 0
195750, 64, 1, 0
196250, 64, 0, 0
196500, 48, 1, 0
196750, 16, 0, 0
196750, 128, 1, 0
197000, 16, 0, 0
197250, 64, 0, 0
197500, 32, 0, 0
197750, 64, 1, 0
198000, 144, 0, 0
198250, 128, 1, 0
199000, 128, 0, 0
199250, 32, 1, 0
199500, 48, 1, 0
199750, 128, 1, 0
200000, 16, 0, 0
200250, 96, 0, 0
200750, 64, 0, 0
200750, 64, 1, 0
201250, 16, 0, 0
201250, 128, 1, 0
201500, 32, 0, 0
201750, 80, 0, 0
202250, 32, 0, 0
202250, 32, 1, 0
202500, 128, 0, 0
202750, 64, 1, 0
203000, 32, 1, 0
203500, 32, 0, 0
203500, 64, 1, 0
203750, 16, 0, 0
203750, 16, 1, 0
204000, 32, 0, 0
204000, 32, 1, 0
204250, 80, 0, 0
204250, 32, 1, 0
204500, 32, 1, 0
204750, 16, 0, 0
204750, 16, 1, 0
205000, 64, 0, 0
205000, 64, 1, 0
205250, 64, 1, 0
205500, 64, 0, 0
205750, 32, 1, 0
206000, 128, 0, 0
206000, 128, 1, 0
207000, 16, 0, 0
207000, 16, 1, 0
207250, 128, 0, 0
207250, 32, 1, 0
207500, 32, 1, 0
207750, 128, 1, 0
208000, 32, 0, 0
208250, 64, 0, 0
208750, 32, 0, 0
208750, 128, 1, 0
209000, 32, 0, 0
209251, 15, 0, 0
209500, 32, 0, 0
209750, 32, 0, 0
209750, 32, 1, 0
210000, 128, 0, 0
210000, 64, 1, 0
210500, 48, 1, 0
211000, 32, 0, 0
211000, 160, 1, 0
211250, 80, 0, 0
211750, 32, 0, 0
212000, 16, 0, 0
212000, 64, 1, 0
212250, 64, 0, 0
212500, 64, 1, 0
212750, 128, 0, 0
213250, 64, 1, 0
213500, 32, 1, 0
213751, 127, 0, 0
213751, 127, 1, 0
214750, 32, 0, 0
214750, 128, 1, 0
215000, 32, 0, 0
215250, 32, 0, 0
215500, 32, 0, 0
215750, 32, 0, 0
215750, 64, 1, 0
216000, 128, 0, 0
216250, 64, 1, 0
216750, 32, 1, 0
217000, 32, 0, 0
217000, 128, 1, 0
217250, 64, 0, 0
217750, 32, 0, 0
218000, 32, 0, 0
218000, 128, 1, 0
218250, 64, 0, 0
218750, 64, 0, 0
219250, 64, 0, 0
219250, 128, 1, 0
219750, 32, 0, 0
220000, 64, 0, 0
220000, 32, 1, 0
220250, 16, 1, 0
220500, 64, 0, 0
220500, 64, 1, 0
221000, 32, 0, 0
221000, 64, 1, 0
221250, 16, 0, 0
221500, 64, 0, 0
221500, 32, 1, 0
221750, 64, 0, 0
221750, 32, 1, 0
222000, 48, 1, 0
222250, 32, 0, 0
222250, 32, 1, 0
222500, 16, 0, 0
222500, 64, 1, 0
222750, 48, 0, 0
223000, 16, 0, 0
223000, 32, 1, 0
223250, 32, 0, 0
223250, 16, 1, 0
223501, 127, 0, 0
223501, 63, 1, 0
224000, 128, 1, 0
224500, 128, 0, 0
225000, 32, 1, 0
225250, 32, 1, 0
225500, 128, 0, 0
225500, 48, 1, 0
225750, 16, 1, 0
226000, 32, 1, 0
226250, 64, 1, 0
226500, 128, 0, 0
226750, 64, 1, 0
227250, 16, 1, 0
227500, 32, 0, 0
227500, 128, 1, 0
227750, 32, 0, 0
228000, 128, 0, 0
228250, 16, 1, 0
228500, 32, 1, 0
228750, 80, 1, 0
229000, 32, 0, 0
229250, 144, 0, 0
229250, 32, 1, 0
229500, 64, 1, 0
230000, 32, 1, 0
230250, 32, 0, 0
230250, 32, 1, 0
230500, 16, 0, 0
230500, 128, 1, 0
230750, 48, 0, 0
231000, 32, 0, 0
231250, 32, 0, 0
231500, 64, 0, 0
231500, 64, 1, 0
232000, 32, 0, 0
232000, 64, 1, 0
232250, 16, 0, 0
232501, 47, 0, 0
232501, 63, 1, 0
232750, 32, 0, 0
233000, 32, 0, 0
233000, 128, 1, 0
233250, 128, 0, 0
234000, 64, 1, 0
234250, 32, 0, 0
234500, 32, 0, 0
234500, 32, 1, 0
234750, 32, 0, 0
234750, 32, 1, 0
235000, 16, 0, 0
235250, 32, 0, 0
235250, 64, 1, 0
235500, 32, 0, 0
235500, 32, 1, 0
235750, 32, 0, 0
235750, 32, 1, 0
236000, 32, 0, 0
236000, 128, 1, 0
236250, 128, 0, 0
237000, 128, 1, 0
237250, 32, 0, 0
237500, 32, 0, 0
237750, 16, 0, 0
238000, 128, 0, 0
238000, 32, 1, 0
238250, 64, 1, 0
238750, 32, 0, 0
238750, 16, 1, 0
239000, 16, 0, 0
239000, 128, 1, 0
239250, 64, 0, 0
239750, 32, 0, 0
240000, 128, 0, 0
240000, 32, 1, 0
240250, 48, 1, 0
240500, 32, 1, 0
240750, 32, 1, 0
241000, 32, 0, 0
241250, 144, 0, 0
241250, 64, 1, 0
241500, 16, 1, 0
241750, 128, 1, 0
242250, 32, 0, 0
242750, 64, 0, 0
242750, 32, 1, 0
243000, 32, 0, 0
243000, 128, 1, 0
243500, 64, 0, 0
243750, 64, 0, 0
244000, 32, 1, 0
244250, 64, 0, 0
244250, 80, 1, 0
245000, 64, 0, 0
245000, 64, 1, 0
245250, 64, 0, 0
245250, 128, 1, 0
245750, 16, 0, 0
246000, 128, 0, 0
246250, 32, 1, 0
246500, 32, 1, 0
246750, 16, 1, 0
247000, 32, 0, 0
247000, 32, 1, 0
247250, 128, 0, 0
247250, 144, 1, 0
248250, 64, 0, 0
248250, 32, 1, 0
248501, 31, 1, 0
248750, 48, 0, 0
248750, 32, 1, 0
249000, 128, 0, 0
249000, 32, 1, 0
249250, 64, 1, 0
249750, 16, 1, 0
250000, 32, 0, 0
250000, 32, 1, 0
250250, 128, 0, 0
250250, 64, 1, 0
250750, 32, 1, 0
251000, 48, 1, 0
251250, 16, 0, 0
251250, 64, 1, 0
251500, 64, 0, 0
251750, 32, 1, 0
252000, 32, 0, 0
252000, 32, 1, 0
252250, 16, 0, 0
252500, 128, 0, 0
252500, 64, 1, 0
252750, 64, 1, 0
253250, 64, 0, 0
253250, 64, 1, 0
253751, 63, 0, 0
253751, 127, 1, 0
254250, 32, 0, 0
254500, 128, 0, 0
254750, 16, 1, 0
255000, 64, 1, 0
255500, 128, 0, 0
255500, 64, 1, 0
256000, 144, 1, 0
256500, 16, 0, 0
256750, 32, 0, 0
257000, 32, 0, 0
257000, 16, 1, 0
257250, 32, 0, 0
257250, 64, 1, 0
257500, 128, 0, 0
257750, 16, 1, 0
258000, 64, 1, 0
258250, 128, 1, 0
258500, 64, 0, 0
259000, 32, 0, 0
259250, 32, 0, 0
259250, 32, 1, 0
259500, 48, 0, 0
259500, 16, 1, 0
259750, 32, 0, 0
259750, 32, 1, 0
260000, 16, 0, 0
260000, 32, 1, 0
260250, 128, 0, 0
260250, 128, 1, 0
261250, 128, 0, 0
261250, 32, 1, 0
261500, 16, 1, 0
261750, 64, 1, 0
262000, 64, 1, 0
262250, 64, 0, 0
262500, 128, 1, 0
262750, 32, 0, 0
263000, 32, 0, 0
263250, 32, 0, 0
263500, 128, 0, 0
263500, 32, 1, 0
263750, 16, 1, 0
264000, 32, 1, 0
264250, 128, 1, 0
264500, 128, 0, 0
265250, 32, 1, 0
265500, 64, 0, 0
265500, 48, 1, 0
265750, 32, 1, 0
266000, 128, 0, 0
266000, 16, 1, 0
266250, 32, 1, 0
266500, 32, 1, 0
266750, 128, 1, 0
267000, 48, 0, 0
267250, 128, 0, 0
267750, 64, 1, 0
268250, 32, 0, 0
268250, 144, 1, 0
268500, 16, 0, 0
268750, 128, 0, 0
269250, 64, 1, 0
269750, 32, 0, 0
269750, 128, 1, 0
270000, 64, 0, 0
270500, 144, 0, 0
270750, 16, 1, 0
271000, 128, 1, 0
271500, 64, 0, 0
272000, 16, 0, 0
272000, 64, 1, 0
272250, 64, 0, 0
272500, 48, 1, 0
272750, 64, 0, 0
272750, 16, 1, 0
273000, 80, 1, 0
273251, 31, 0, 0
273500, 64, 0, 0
273500, 128, 1, 0
274000, 32, 0, 0
274250, 80, 0, 0
274500, 32, 1, 0
274750, 32, 0, 0
274750, 64, 1, 0
275250, 160, 0, 0
275250, 32, 1, 0
275500, 32, 1, 0
275750, 16, 1, 0
276000, 32, 1, 0
276250, 64, 0, 0
276250, 128, 1, 0
276750, 32, 0, 0
277000, 128, 0, 0
277250, 32, 1, 0
277500, 64, 1, 0
278000, 16, 0, 0
278000, 64, 1, 0
278250, 32, 0, 0
278500, 32, 0, 0
278500, 64, 1, 0
278750, 48, 0, 0
279000, 64, 0, 0
279000, 64, 1, 0
279500, 32, 1, 0
279750, 128, 0, 0
279750, 128, 1, 0
280500, 32, 0, 0
280750, 16, 1, 0
281000, 64, 0, 0
281000, 64, 1, 0
281250, 16, 0, 0
281250, 32, 1, 0
281500, 64, 0, 0
